Make,Model,Engine HP,highway MPG,MSRP,log_MSRP,Engine HP_scaled,highway MPG_scaled,log_MSRP_scaled,value_gap,Cluster,Segmen,Cluster_A,harga_per_hp,Baseline
Acura,ILX,201.0,35.0,29945.0,10.307151038697665,-0.7200104836632404,1.2489569865975343,-0.5995462479788233,-0.0692608863079549,1,Standard Value,2,148.98009950248758,Mid
Acura,ILX Hybrid,111.0,38.0,31750.0,10.36567949988784,-1.4042708737485001,1.7299453589522245,-0.510846496130223,0.8198598554754426,1,Standard Value,2,286.036036036036,High
Acura,MDX,290.0,27.0,50360.0,10.826972344990523,-0.04335298680115019,-0.033678673014973105,0.18824177747385773,0.01526865651598186,0,High Value,1,173.6551724137931,High
Acura,NSX,573.0,22.0,156000.0,11.957617696467539,2.1082657953558335,-0.8353259602727902,1.9017322753518369,0.21295420161740353,2,Overpriced / Low Value,0,272.25130890052355,High
Acura,RDX,279.0,28.0,39170.0,10.575691956076149,-0.12698481225601527,0.1266507844365903,-0.1925730891378462,-0.192061420974186,0,High Value,1,140.3942652329749,Mid
Acura,RL,300.0,24.0,51350.0,10.846439689363773,0.03267594543054534,-0.5146670453696633,0.21774449427086845,0.022966054605205954,0,High Value,1,171.16666666666666,Mid
Acura,RLX,310.0,31.0,55700.0,10.92775337907558,0.10870487766224086,0.6076391567912806,0.3409752089123488,-0.03190277652475615,1,Standard Value,1,179.67741935483872,High
Acura,TL,305.0,26.0,41635.0,10.63672045663536,0.0706904115463931,-0.19400813046653653,-0.10008453322476447,-0.23613521255415115,0,High Value,1,136.50819672131146,Low
Acura,TLX,290.0,34.0,39375.0,10.580911772630838,-0.04335298680115019,1.0886275291459708,-0.18466246883994133,-0.3190188613514522,1,Standard Value,2,135.77586206896552,Low
Acura,TSX,201.0,31.0,31635.0,10.362050991639308,-0.7200104836632404,0.6076391567912806,-0.5163454922541708,0.036054464066685554,1,Standard Value,2,157.38805970149255,Mid
Acura,TSX Sport Wagon,201.0,30.0,33497.5,10.419255940691274,-0.7200104836632404,0.44730969933971715,-0.4296515200867799,0.10586326247690181,1,Standard Value,2,166.65422885572139,Mid
Acura,ZDX,300.0,23.0,50620.0,10.832121788941521,0.03267594543054534,-0.6749965028212268,0.1960457482484811,0.02125200354120338,0,High Value,1,168.73333333333332,Mid
Alfa Romeo,4C,237.0,34.0,63900.0,11.065090289695444,-0.44630632762913647,1.0886275291459708,0.5491089893658185,0.4603253771019098,1,Standard Value,2,269.62025316455697,High
Aston Martin,DB9,510.0,19.0,198497.5,12.198536822405767,1.6292835222961515,-1.3163143326274804,2.266844671129121,0.6620311820257729,2,Overpriced / Low Value,0,389.21078431372547,High
Aston Martin,DB9 GT,540.0,19.0,213250.0,12.270225154674701,1.857370318991238,-1.3163143326274804,2.375488178123662,0.6501245331424172,2,Overpriced / Low Value,0,394.9074074074074,High
Aston Martin,DBS,510.0,17.5,283097.5,12.553550172604853,1.6292835222961515,-1.5568085188048255,2.8048666082390143,1.0359503062622313,2,Overpriced / Low Value,0,555.093137254902,High
Aston Martin,Rapide,470.0,19.0,207895.0,12.244793233641772,1.3251677933693693,-1.3163143326274804,2.3369461587576597,0.8277428581036723,2,Overpriced / Low Value,0,442.32978723404256,High
Aston Martin,Rapide S,552.0,22.0,203995.0,12.22585566479098,1.9486050376692727,-0.8353259602727902,2.308246315578407,0.535799036136348,2,Overpriced / Low Value,0,369.5561594202899,High
